"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
1.1447,238.1,-66.357,0,2.6739e+05,96281,293.02,0.62926,-0.14445,1.8493,0.052192,0
1.1534,234.56,-67.776,0,2.6913e+05,97313,293.92,0.61594,-0.11475,1.8612,0.048822,0
1.1622,230.77,-68.973,0,2.7088e+05,98370,294.85,0.60204,-0.084314,1.8726,0.045471,0
1.1719,226.7,-69.93,0,2.7281e+05,99521,295.83,0.5871,-0.051206,1.8835,0.042155,0
1.1819,222.38,-70.652,0,2.748e+05,1.0071e+05,296.83,0.57161,-0.017071,1.8939,0.038887,0
1.1919,217.86,-71.146,0,2.7678e+05,1.019e+05,297.82,0.55578,0.017251,1.9038,0.035681,0
1.2019,213.12,-71.411,0,2.7877e+05,1.031e+05,298.82,0.53963,0.051806,1.9133,0.032547,0
1.2119,208.17,-71.446,0,2.8075e+05,1.043e+05,299.81,0.52317,0.086472,1.9223,0.029499,0
1.2219,203.01,-71.248,0,2.8271e+05,1.0551e+05,300.79,0.50643,0.12108,1.9308,0.026545,0
1.2318,197.63,-70.817,0,2.8466e+05,1.0671e+05,301.77,0.4894,0.1556,1.9388,0.023696,0
1.2416,192.02,-70.143,0,2.8658e+05,1.079e+05,302.73,0.47203,0.19,1.9464,0.020961,0
1.2514,186.15,-69.222,0,2.8849e+05,1.0909e+05,303.69,0.45427,0.2243,1.9535,0.018346,0
1.2611,179.97,-68.039,0,2.9038e+05,1.1028e+05,304.64,0.43604,0.25848,1.9601,0.01586,0
1.2707,173.47,-66.583,0,2.9226e+05,1.1147e+05,305.58,0.41726,0.2927,1.9663,0.013508,0
1.2803,166.56,-64.818,0,2.9412e+05,1.1266e+05,306.53,0.39773,0.32684,1.972,0.011296,0
1.29,159.19,-62.728,0,2.9599e+05,1.1386e+05,307.47,0.37732,0.36139,1.9773,0.0092274,0
1.2996,151.11,-60.196,0,2.9783e+05,1.1506e+05,308.43,0.35551,0.39601,1.9821,0.0073067,0
1.3097,142.24,-57.179,0,2.9979e+05,1.1633e+05,309.41,0.33195,0.43246,1.9865,0.0055367,0
1.3194,131.6,-53.205,0,3.016e+05,1.1759e+05,310.46,0.30459,0.4687,1.9905,0.0039197,0
1.3313,119.12,-48.459,0,3.039e+05,1.1908e+05,311.58,0.27297,0.51163,1.9941,0.0024574,0
1.337,102.07,-41.383,0,3.0471e+05,1.2007e+05,312.85,0.23233,0.54021,1.9972,0.0011506,0
1.3524,98.644,-20.361,0,3.0799e+05,1.217e+05,313.46,0.20983,0.58699,2,0,0
1.3501,113.91,-1.0319,0,3.0775e+05,1.2118e+05,312.68,0.23802,0.57212,2.003,0,0
1.3287,128.48,0.28655,0,3.0331e+05,1.1884e+05,311.57,0.27325,0.50479,2.0062,0,0
1.3237,137.2,0.093188,0,3.0242e+05,1.1812e+05,310.88,0.29325,0.48421,2.0095,0,0
1.3168,144.7,0.058116,0,3.0111e+05,1.1726e+05,310.21,0.31122,0.45943,2.013,0,0
1.3106,151.1,0.016424,0,2.9992e+05,1.1648e+05,309.61,0.32683,0.43701,2.0168,0,0
1.3052,156.63,0.00063605,0,2.9887e+05,1.1579e+05,309.06,0.34053,0.41702,2.0206,0,0
1.3,161.54,-0.0036936,0,2.9789e+05,1.1514e+05,308.54,0.35288,0.39841,2.0247,0,0
1.2953,165.95,-0.0056403,0,2.9698e+05,1.1454e+05,308.06,0.36412,0.38103,2.0289,0,0
1.2908,169.93,-0.0062343,0,2.9612e+05,1.1397e+05,307.6,0.37445,0.36471,2.0334,0,0
1.2865,173.57,-0.0063082,0,2.953e+05,1.1344e+05,307.17,0.384,0.34931,2.038,0,0
1.2825,176.91,-0.0062246,0,2.9453e+05,1.1293e+05,306.75,0.39288,0.33473,2.0427,0,0
1.2787,179.99,-0.0060912,0,2.9379e+05,1.1245e+05,306.36,0.40117,0.32091,2.0477,0,0
1.275,182.84,-0.0059482,0,2.9309e+05,1.1199e+05,305.99,0.40893,0.30777,2.0528,0,0
1.2716,185.49,-0.005806,0,2.9243e+05,1.1156e+05,305.63,0.41623,0.29527,2.0581,0,0
1.2682,187.96,-0.005665,0,2.9179e+05,1.1115e+05,305.29,0.42311,0.28334,2.0636,0,0
1.2651,190.27,-0.0055244,0,2.9118e+05,1.1075e+05,304.97,0.42961,0.27196,2.0693,0,0
1.2621,192.43,-0.0053836,0,2.906e+05,1.1037e+05,304.65,0.43576,0.26108,2.0751,0,0
1.2592,194.47,-0.0052424,0,2.9004e+05,1.1001e+05,304.35,0.4416,0.25067,2.0811,0,0
1.2564,196.39,-0.005101,0,2.8951e+05,1.0966e+05,304.06,0.44716,0.24069,2.0872,0,0
1.2537,198.2,-0.0049596,0,2.8899e+05,1.0933e+05,303.79,0.45244,0.23113,2.0935,0,0
1.2512,199.91,-0.0048188,0,2.885e+05,1.0901e+05,303.52,0.45748,0.22196,2.1,0,0
1.2487,201.53,-0.0046791,0,2.8803e+05,1.0871e+05,303.26,0.46229,0.21315,2.1066,0,0
1.2464,203.06,-0.0045411,0,2.8757e+05,1.0841e+05,303.01,0.46688,0.20469,2.1134,0,0
1.2441,204.52,-0.0044053,0,2.8713e+05,1.0813e+05,302.77,0.47128,0.19655,2.1203,0,0
1.2419,205.91,-0.0042723,0,2.8671e+05,1.0786e+05,302.54,0.47548,0.18873,2.1274,0,0
1.2398,207.22,-0.0041428,0,2.8631e+05,1.076e+05,302.32,0.47951,0.1812,2.1346,0,0
1.2378,208.48,-0.0040175,0,2.8592e+05,1.0734e+05,302.11,0.48337,0.17396,2.1419,0,0
1.2359,209.68,-0.0038958,0,2.8554e+05,1.071e+05,301.9,0.48708,0.16699,2.1494,0,0
1.234,210.82,-0.0037775,0,2.8518e+05,1.0687e+05,301.7,0.49063,0.16028,2.1571,0,0
1.2322,211.9,-0.0036624,0,2.8483e+05,1.0664e+05,301.51,0.49405,0.15382,2.1648,0,0
1.2304,212.94,-0.0035516,0,2.845e+05,1.0643e+05,301.32,0.49733,0.1476,2.1727,0,0
1.2288,213.94,-0.0034435,0,2.8418e+05,1.0622e+05,301.14,0.50048,0.14161,2.1807,0,0
1.2272,214.89,-0.0033408,0,2.8386e+05,1.0602e+05,300.96,0.5035,0.13584,2.1888,0,0
1.2256,215.8,-0.003239,0,2.8357e+05,1.0583e+05,300.8,0.50641,0.13029,2.1971,0,0
1.2241,216.67,-0.0031454,0,2.8328e+05,1.0564e+05,300.63,0.50921,0.12494,2.2055,0,0
