VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         188,       -7.38390139,      -3.808927645,      -5.430256385,      -1.508041921
          0,           0,         189,      -7.396138532,      -3.826359255,      -5.445400546,      -1.525185926
          0,           0,         190,      -7.408381896,        -3.8438432,      -5.460611943,      -1.542382417
          0,           0,         191,      -7.420636501,       -3.86137923,      -5.475890118,      -1.559631132
          0,           0,         192,      -7.432907088,      -3.878967097,      -5.491234628,      -1.576931811
          0,           0,         193,      -7.445198133,      -3.896606549,      -5.506645036,      -1.594284193
          0,           0,         194,      -7.457513851,      -3.914297338,      -5.522120902,      -1.611688019
          0,           0,         195,      -7.469858202,      -3.932039214,      -5.537661807,      -1.629143029
          0,           0,         196,      -7.482234906,      -3.949831927,      -5.553267331,      -1.646648964
          0,           0,         197,       -7.49464744,      -3.967675227,      -5.568937069,      -1.664205566
          0,           0,         198,      -7.507099065,      -3.985568865,      -5.584670608,      -1.681812574
          0,           0,         199,      -7.519592818,      -4.003512589,      -5.600467557,       -1.69946973
          0,           0,         200,       -7.53213153,      -4.021506147,      -5.616327517,      -1.717176773
          0,           0,         201,      -7.544717839,      -4.039549287,      -5.632250102,      -1.734933444
          0,           0,         202,      -7.557354192,      -4.057641756,      -5.648234936,      -1.752739481
          0,           0,         203,      -7.570042861,      -4.075783299,      -5.664281633,      -1.770594625
          0,           0,         204,      -7.582785949,       -4.09397366,      -5.680389829,      -1.788498611
          0,           0,         205,      -7.595585399,      -4.112212582,       -5.69655916,      -1.806451179
          0,           0,         206,      -7.608443008,      -4.130499807,      -5.712789252,      -1.824452063
          0,           0,         207,      -7.621360426,      -4.148835073,      -5.729079764,         -1.842501
          0,           0,         208,       -7.63433918,      -4.167218119,      -5.745430324,      -1.860597721
          0,           0,         209,      -7.647380655,       -4.18564868,        -5.7618406,      -1.878741961
          0,           0,         210,      -7.660486133,       -4.20412649,      -5.778310233,       -1.89693345
          0,           0,         211,      -7.673656782,       -4.22265128,      -5.794838888,      -1.915171916
          0,           0,         212,      -7.686893665,       -4.24122278,      -5.811426221,      -1.933457089
          0,           0,         213,       -7.70019775,      -4.259840716,      -5.828071898,      -1.951788692
          0,           0,         214,      -7.713569914,       -4.27850481,      -5.844775575,       -1.97016645
          0,           0,         215,       -7.72701095,      -4.297214786,       -5.86153693,      -1.988590084
          0,           0,         216,      -7.740521572,      -4.315970359,      -5.878355634,      -2.007059313
          0,           0,         217,      -7.754102424,      -4.334771245,      -5.895231353,      -2.025573854
          0,           0,         218,      -7.767754081,      -4.353617154,      -5.912163764,      -2.044133422
          0,           0,         219,      -7.781477053,      -4.372507795,      -5.929152548,      -2.062737728
          0,           0,         220,      -7.795271788,      -4.391442872,      -5.946197382,      -2.081386482
          0,           0,         221,       -7.80913869,      -4.410422085,      -5.963297945,      -2.100079389
          0,           0,         222,      -7.823078101,       -4.42944513,      -5.980453911,      -2.118816152
          0,           0,         223,      -7.837090321,      -4.448511698,      -5.997665008,      -2.137596483
          0,           0,         224,      -7.851175606,      -4.467621479,      -6.014930912,       -2.15642007
          0,           0,         225,      -7.865334182,      -4.486774156,      -6.032251263,      -2.175286596
          0,           0,         226,      -7.879566219,      -4.505969407,      -6.049625755,      -2.194195756
          0,           0,         227,      -7.893871869,      -4.525206905,       -6.06705405,      -2.213147232
          0,           0,         228,      -7.908251242,      -4.544486318,      -6.084535842,       -2.23214071
          0,           0,         229,      -7.922704425,      -4.563807311,      -6.102070823,      -2.251175868
          0,           0,         230,      -7.937231477,      -4.583169541,      -6.119658694,      -2.270252382
          0,           0,         231,      -7.951832435,      -4.602572661,       -6.13729913,       -2.28936992
          0,           0,         232,      -7.966507312,      -4.622016316,      -6.154991809,      -2.308528147
          0,           0,         233,      -7.981256094,      -4.641500149,      -6.172736443,      -2.327726727
          0,           0,         234,      -7.996078767,      -4.661023793,       -6.19053269,       -2.34696531
          0,           0,         235,      -8.010975278,      -4.680586876,      -6.208380252,      -2.366243553
          0,           0,         236,      -8.025945579,      -4.700189021,      -6.226278797,      -2.385561095
          0,           0,         237,      -8.040989591,      -4.719829841,      -6.244228034,      -2.404917585
          0,           0,         238,      -8.056107233,      -4.739508946,      -6.262227635,      -2.424312653
          0,           0,         239,      -8.071298416,      -4.759225934,      -6.280277264,      -2.443745929
          0,           0,         240,      -8.086563028,      -4.778980401,      -6.298376616,      -2.463217041
          0,           0,         241,      -8.101900958,      -4.798771931,      -6.316525362,      -2.482725603
          0,           0,         242,      -8.117312085,      -4.818600103,      -6.334723201,      -2.502271234
          0,           0,         243,      -8.132796285,      -4.838464486,      -6.352969792,      -2.521853537
          0,           0,         244,      -8.148353419,      -4.858364644,      -6.371264813,      -2.541472114
          0,           0,         245,      -8.163983356,      -4.878300128,       -6.38960791,      -2.561126554
          0,           0,         246,      -8.179685942,      -4.898270485,      -6.407998804,       -2.58081645
          0,           0,         247,      -8.195461038,      -4.918275249,      -6.426437129,      -2.600541382
          0,           0,         248,      -8.211308496,      -4.938313949,      -6.444922552,      -2.620300922
          0,           0,         249,      -8.227228162,      -4.958386101,      -6.463454729,      -2.640094635
          0,           0,         250,      -8.243219882,      -4.978491215,      -6.482033356,      -2.659922089
          0,           0,         251,        -8.2592835,      -4.998628789,       -6.50065807,      -2.679782833
          0,           0,         252,      -8.275418873,      -5.018798311,      -6.519328523,      -2.699676408
          0,           0,         253,      -8.291625833,      -5.038999261,       -6.53804441,      -2.719602362
          0,           0,         254,      -8.307904225,      -5.059231107,      -6.556805362,      -2.739560219
          0,           0,         255,      -8.324253912,      -5.079493306,      -6.575610972,      -2.759549494
          0,           0,         256,      -8.340674725,      -5.099785307,      -6.594460952,      -2.779569707
          0,           0,         257,      -8.357166512,      -5.120106545,      -6.613354914,      -2.799620364
          0,           0,         258,      -8.373729138,      -5.140456445,      -6.632292498,       -2.81970096
          0,           0,         259,      -8.390362442,      -5.160834423,      -6.651273372,      -2.839810993
          0,           0,         260,      -8.407066287,      -5.181239878,      -6.670297129,      -2.859949932
          0,           0,         261,      -8.423840525,      -5.201672205,       -6.68936342,      -2.880117256
          0,           0,         262,      -8.440685017,       -5.22213078,      -6.708471859,      -2.900312423
          0,           0,         263,      -8.457599631,       -5.24261497,      -6.727622059,      -2.920534889
          0,           0,         264,      -8.474584224,      -5.263124132,      -6.746813673,      -2.940784106
          0,           0,         265,      -8.491638685,      -5.283657606,      -6.766046294,      -2.961059492
          0,           0,         266,      -8.508762864,      -5.304214723,      -6.785319471,      -2.981360487
          0,           0,         267,      -8.525956658,      -5.324794801,      -6.804632895,      -3.001686504
          0,           0,         268,      -8.543219943,      -5.345397144,      -6.823986099,      -3.022036945
          0,           0,         269,      -8.560552597,      -5.366021043,      -6.843378741,      -3.042411222
          0,           0,         270,       -8.57795452,      -5.386665779,      -6.862810399,      -3.062808716
          0,           0,         271,      -8.595425626,      -5.407330614,      -6.882280554,      -3.083228791
          0,           0,         272,      -8.612965782,      -5.428014804,       -6.90178894,      -3.103670844
          0,           0,         273,      -8.630574906,      -5.448717587,      -6.921335037,      -3.124134211
          0,           0,         274,      -8.648252901,      -5.469438192,      -6.940918514,      -3.144618261
          0,           0,         275,      -8.665999701,      -5.490175827,      -6.960538843,      -3.165122313
          0,           0,         276,      -8.683815213,      -5.510929694,      -6.980195585,      -3.185645707
          0,           0,         277,      -8.701699349,      -5.531698979,      -6.999888315,      -3.206187753
          0,           0,         278,      -8.719652054,      -5.552482857,      -7.019616578,      -3.226747768
          0,           0,         279,      -8.737673261,      -5.573280486,      -7.039379888,      -3.247325047
          0,           0,         280,      -8.755762902,      -5.594091014,      -7.059177823,      -3.267918885
          0,           0,         281,      -8.773920936,      -5.614913573,      -7.079009878,      -3.288528553
          0,           0,         282,      -8.792147302,      -5.635747286,      -7.098875633,      -3.309153338
          0,           0,         283,      -8.810441974,      -5.656591262,      -7.118774609,      -3.329792489
          0,           0,         284,      -8.828804898,      -5.677444597,      -7.138706313,      -3.350445281
          0,           0,         285,      -8.847236068,       -5.69830637,      -7.158670123,      -3.371110904
          0,           0,         286,      -8.865735408,      -5.719175658,       -7.17866571,      -3.391788627
          0,           0,         287,      -8.884302936,      -5.740051519,      -7.198692475,      -3.412477669
          0,           0,         288,      -8.902938632,      -5.760933002,      -7.218749926,      -3.433177248
          0,           0,         289,      -8.921642483,      -5.781819145,      -7.238837611,      -3.453886568
          0,           0,         290,      -8.940414481,      -5.802708973,      -7.258954877,      -3.474604818
          0,           0,         291,      -8.959254668,      -5.823601499,      -7.279101062,      -3.495331158
          0,           0,         292,      -8.978162967,      -5.844495741,       -7.29927615,      -3.516064865
          0,           0,         293,      -8.997139499,      -5.865390684,      -7.319479009,      -3.536805006
          0,           0,         294,      -9.016184227,      -5.886285322,      -7.339709299,      -3.557550807
          0,           0,         295,      -9.035297161,      -5.907178641,       -7.35996676,      -3.578301449
          0,           0,         296,      -9.054478411,      -5.928069599,      -7.380250073,      -3.599055979
          0,           0,         297,      -9.073727904,      -5.948957183,      -7.400559605,      -3.619813684
          0,           0,         298,       -9.09304574,       -5.96984034,      -7.420894092,      -3.640573607
          0,           0,         299,      -9.112432047,      -5.990718021,      -7.441252955,       -3.66133487
          0,           0,         300,      -9.131886761,      -6.011589189,      -7.461635942,      -3.682096705
          0,           0,         301,      -9.151410019,      -6.032452781,      -7.482042235,      -3.702858142
          0,           0,         302,      -9.171001876,      -6.053307746,      -7.502471235,      -3.723618375
          0,           0,         303,      -9.190662424,      -6.074153023,      -7.522922342,      -3.744376467
          0,           0,         304,      -9.210391705,      -6.094987558,      -7.543395053,      -3.765131578
          0,           0,         305,      -9.230189845,      -6.115810289,      -7.563888281,      -3.785882809
          0,           0,         306,      -9.250056906,      -6.136620162,      -7.584402084,      -3.806629289
          0,           0,         307,      -9.269993023,      -6.157416121,      -7.604935428,      -3.827370136
          0,           0,         308,      -9.289998317,      -6.178197114,      -7.625487454,      -3.848104464
          0,           0,         309,      -9.310072896,      -6.198962093,      -7.646057722,      -3.868831355
          0,           0,         310,      -9.330216831,      -6.219710022,      -7.666645685,      -3.889549963
          0,           0,         311,      -9.350430323,      -6.240439859,      -7.687250197,      -3.910259328
          0,           0,         312,      -9.370713372,      -6.261150597,      -7.707871093,      -3.930958693
          0,           0,         313,      -9.391066291,      -6.281841197,      -7.728507086,      -3.951647061
          0,           0,         314,      -9.411489065,      -6.302510687,      -7.749158705,      -3.972323818
          0,           0,         315,      -9.431982049,      -6.323158042,        -7.7698237,      -3.992987846
          0,           0,         316,      -9.452545278,      -6.343782298,      -7.790501972,      -4.013638333
          0,           0,         317,      -9.473178776,      -6.364382514,      -7.811193593,      -4.034274628
          0,           0,         318,      -9.493882969,      -6.384957705,      -7.831896634,      -4.054895585
          0,           0,         319,      -9.514657854,      -6.405506974,      -7.852610712,      -4.075500561
          0,           0,         320,      -9.535503672,      -6.426029397,      -7.873334651,      -4.096088643
          0,           0,         321,      -9.556420526,      -6.446524105,      -7.894068935,      -4.116659198
          0,           0,         322,      -9.577408698,      -6.466990224,      -7.914812206,       -4.13721136
          0,           0,         323,      -9.598468462,      -6.487426897,      -7.935562931,      -4.157744227
          0,           0,         324,      -9.619599839,      -6.507833338,      -7.956321724,      -4.178257294
          0,           0,         325,       -9.64080325,       -6.52820873,      -7.977087141,      -4.198749611
          0,           0,         326,      -9.662078667,      -6.548552335,      -7.997858202,      -4.219220552
          0,           0,         327,      -9.683426239,      -6.568863418,      -8.018634597,      -4.239669332
          0,           0,         328,       -9.70484647,      -6.589141249,      -8.039414511,      -4.260095089
          0,           0,         329,      -9.726339372,      -6.609385189,      -8.060198185,      -4.280497448
          0,           0,         330,      -9.747905341,      -6.629594581,       -8.08098424,      -4.300875676
