Density,Momentumx,MomentumY,Energy
1.3084,265.98,0.000191,304640
1.3097,265.46,0.00020207,304910
1.3111,264.92,0.00021399,305190
1.3126,264.37,0.00022684,305470
1.314,263.8,0.0002407,305760
1.3155,263.21,0.00025568,306060
1.317,262.61,0.0002719,306360
1.3186,261.99,0.00028948,306670
1.3202,261.35,0.00030856,306980
1.3218,260.69,0.00032932,307310
1.3234,260,0.00035195,307640
1.3251,259.3,0.00037664,307970
1.3269,258.58,0.00040366,308320
1.3287,257.83,0.00043327,308670
1.3305,257.05,0.00046579,309030
1.3324,256.25,0.00050159,309400
1.3343,255.43,0.00054111,309780
1.3362,254.57,0.00058482,310170
1.3382,253.69,0.00063331,310560
1.3403,252.78,0.00068725,310970
1.3424,251.83,0.00074743,311380
1.3445,250.85,0.00081477,311810
1.3467,249.83,0.00089042,312250
1.349,248.77,0.00097563,312690
1.3513,247.67,0.0010721,313150
1.3537,246.53,0.0011816,313620
1.3562,245.34,0.0013066,314110
1.3587,244.1,0.0014498,314610
1.3613,242.81,0.0016151,315120
1.364,241.46,0.0018059,315650
1.3668,240.04,0.0020294,316190
1.3696,238.56,0.0022895,316750
1.3726,237.01,0.0026003,317330
1.3756,235.38,0.0029639,317930
1.3788,233.66,0.0034109,318550
1.3821,231.84,0.0039394,319200
1.3855,229.91,0.0046191,319870
1.389,227.85,0.0054146,320560
1.3928,225.66,0.0065033,321290
1.3967,223.32,0.0077998,322060
1.4008,220.78,0.0097899,322860
1.4051,218.04,0.012033,323710
1.4098,215.02,0.015997,324610
1.4147,211.71,0.021452,325580
1.4201,207.98,0.033656,326620
1.426,203.75,0.048964,327770
1.4325,198.76,0.087812,329030
1.4403,192.89,0.17643,330560
1.4489,184.92,0.41343,332190
1.4615,174.29,0.51771,334640
1.4709,157.14,0.83903,336190
1.489,142.38,18.481,339880
1.4919,142.71,48.106,340740
1.4688,155.29,65.371,336090
1.4499,167.61,70.051,332280
1.4395,176.29,72.414,330280
1.4304,183.29,75.061,328530
1.4215,189.5,77.416,326800
1.4131,195.07,79.282,325160
1.4053,200.07,80.858,323640
1.3979,204.65,82.307,322210
1.3907,208.93,83.58,320790
1.3837,212.95,84.718,319430
1.3768,216.75,85.71,318070
1.37,220.36,86.615,316760
1.3633,223.82,87.398,315440
1.3568,227.15,88.109,314150
1.3502,230.35,88.712,312850
1.3437,233.45,89.257,311580
1.3372,236.45,89.702,310290
1.3308,239.36,90.097,309020
1.3243,242.19,90.397,307730
1.3178,244.96,90.652,306460
1.3113,247.65,90.818,305170
1.3049,250.28,90.941,303890
1.2984,252.85,90.978,302590
1.2919,255.37,90.975,301300
1.2853,257.83,90.887,299990
1.2787,260.24,90.762,298680
1.2721,262.6,90.553,297350
1.2655,264.92,90.308,296030
1.2588,267.18,89.98,294680
1.2521,269.4,89.617,293330
1.2453,271.57,89.172,291970
1.2385,273.71,88.692,290600
1.2316,275.79,88.133,289210
1.2247,277.83,87.537,287820
1.2177,279.83,86.864,286410
1.2107,281.78,86.154,285000
1.2036,283.69,85.368,283560
1.1965,285.55,84.546,282120
1.1893,287.37,83.649,280660
1.1821,289.14,82.715,279190
1.1748,290.86,81.709,277710
1.1675,292.54,80.667,276220
1.1601,294.17,79.554,274700
1.1527,295.75,78.403,273190
1.1452,297.28,77.186,271650
1.1376,298.76,75.931,270110
1.13,300.19,74.612,268540
1.1224,301.57,73.255,266970
1.1147,302.88,71.838,265380
1.107,304.16,70.383,263790
1.0992,305.37,68.871,262180
1.0913,306.52,67.323,260560
1.0834,307.62,65.721,258920
1.0755,308.66,64.083,257280
1.0676,309.64,62.396,255620
1.0596,310.57,60.674,253950
1.0515,311.43,58.908,252280
1.0434,312.23,57.107,250590
1.0353,312.96,55.268,248890
1.0272,313.64,53.395,247180
1.019,314.25,51.489,245470
1.0108,314.8,49.551,243740
1.0026,315.28,47.585,242010
0.99435,315.7,45.59,240270
0.9861,316.05,43.571,238530
0.97782,316.33,41.526,236770
0.96954,316.56,39.463,235020
0.96123,316.71,37.376,233250
0.95294,316.8,35.277,231490
0.94463,316.82,33.157,229720
0.93633,316.78,31.03,227950
0.92802,316.67,28.885,226170
0.91974,316.51,26.739,224390
0.91145,316.27,24.579,222610
0.90319,315.97,22.423,220840
0.89493,315.61,20.255,219060
0.88671,315.19,18.097,217290
0.8785,314.7,15.931,215510
0.87034,314.16,13.78,213740
0.86218,313.55,11.626,211970
0.85409,312.9,9.4887,210210
0.84601,312.18,7.3531,208460
0.83801,311.41,5.2416,206710
0.83002,310.59,3.1336,204970
0.82207,309.71,1.0425,203230
0.81413,308.78,-1.0394,201490
0.80624,307.8,-3.1054,199750
0.79837,306.76,-5.1635,198020
0.79056,305.69,-7.2003,196300
0.78272,304.55,-9.2354,194570
0.77494,303.37,-11.248,192850
0.76716,302.13,-13.253,191130
0.75944,300.86,-15.231,189410
0.75172,299.53,-17.197,187700
0.74407,298.17,-19.136,186000
0.73643,296.75,-21.058,184290
0.72886,295.3,-22.949,182600
0.72132,293.81,-24.821,180910
0.71385,292.28,-26.66,179240
0.70641,290.72,-28.476,177570
0.69906,289.13,-30.258,175910
0.69175,287.5,-32.014,174260
0.68452,285.85,-33.733,172630
0.67736,284.17,-35.424,171010
0.67027,282.46,-37.079,169410
0.66325,280.74,-38.702,167810
0.6563,278.99,-40.287,166230
0.64946,277.23,-41.842,164680
0.64265,275.43,-43.353,163120
0.63604,273.68,-44.84,161610
0.62932,271.8,-46.271,160070
0.62299,270.13,-47.703,158630
0.61606,268.05,-49.02,157030
0.61068,266.59,-50.431,155810
0.60349,264.19,-51.615,154110
0.59796,263.48,-53.084,152960
0.59224,261.8,-53.971,151640
0.6043,251.85,-52.493,152780
0.74981,238.59,-52.083,181520
1.0588,242.67,-55.96,248660
1.1448,242.46,-56.212,267520
1.1293,244.01,-57.7,264240
1.1172,243.83,-59.121,261580
1.1214,242.49,-60.249,262440
1.1258,241.24,-61.298,263350
1.128,240.03,-62.307,263780
1.131,238.7,-63.271,264360
1.1349,237.25,-64.157,265140
1.1389,235.7,-64.99,265970
1.1432,234.08,-65.756,266830
1.1477,232.36,-66.47,267720
1.1523,230.58,-67.115,268650
1.157,228.7,-67.71,269590
1.1619,226.76,-68.235,270570
1.1667,224.75,-68.713,271540
1.1717,222.68,-69.121,272530
1.1767,220.54,-69.482,273520
1.1817,218.35,-69.774,274520
1.1867,216.09,-70.019,275510
1.1917,213.8,-70.196,276510
1.1967,211.43,-70.327,277500
1.2017,209.02,-70.39,278500
1.2067,206.55,-70.407,279480
