"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.096,2.6155e+05,0.86054,311.73,35.814,0,86653,-0.42155,275.43,1,1.278,1.278,0.3,0
1.094,2.6113e+05,0.86298,311.95,35.593,0,86431,-0.42794,275.23,1,1.281,1.281,0.3,0
1.092,2.6072e+05,0.86543,312.18,35.367,0,86208,-0.43434,275.03,1,1.284,1.284,0.3,0
1.0899,2.603e+05,0.86788,312.4,35.137,0,85986,-0.44075,274.82,1,1.287,1.287,0.3,0
1.0879,2.5988e+05,0.87033,312.61,34.9,0,85763,-0.44716,274.62,1,1.29,1.29,0.3,0
1.0859,2.5946e+05,0.87279,312.83,34.661,0,85540,-0.45358,274.42,1,1.293,1.293,0.3,0
1.0839,2.5904e+05,0.87525,313.04,34.416,0,85317,-0.46,274.21,1,1.296,1.296,0.3,0
1.0818,2.5862e+05,0.87771,313.24,34.166,0,85094,-0.46643,274.01,1,1.299,1.299,0.3,0
1.0798,2.582e+05,0.88018,313.44,33.913,0,84870,-0.47286,273.8,1,1.302,1.302,0.3,0
1.0778,2.5778e+05,0.88265,313.64,33.655,0,84646,-0.4793,273.59,1,1.305,1.305,0.3,0
1.0757,2.5735e+05,0.88513,313.84,33.392,0,84422,-0.48575,273.39,1,1.308,1.308,0.3,0
1.0737,2.5693e+05,0.88761,314.03,33.126,0,84198,-0.49219,273.18,1,1.311,1.311,0.3,0
1.0717,2.5651e+05,0.89009,314.22,32.854,0,83974,-0.49864,272.97,1,1.314,1.314,0.3,0
1.0696,2.5608e+05,0.89257,314.41,32.579,0,83750,-0.50509,272.76,1,1.317,1.317,0.3,0
1.0676,2.5565e+05,0.89505,314.59,32.3,0,83526,-0.51155,272.55,1,1.32,1.32,0.3,0
1.0655,2.5523e+05,0.89754,314.77,32.016,0,83302,-0.518,272.34,1,1.323,1.323,0.3,0
1.0635,2.548e+05,0.90003,314.94,31.729,0,83077,-0.52446,272.14,1,1.326,1.326,0.3,0
1.0614,2.5437e+05,0.90252,315.11,31.437,0,82853,-0.53092,271.92,1,1.329,1.329,0.3,0
1.0594,2.5394e+05,0.90502,315.28,31.142,0,82628,-0.53738,271.71,1,1.332,1.332,0.3,0
1.0573,2.5352e+05,0.90751,315.45,30.844,0,82404,-0.54384,271.5,1,1.335,1.335,0.3,0
1.0553,2.5309e+05,0.91001,315.61,30.541,0,82179,-0.5503,271.29,1,1.338,1.338,0.3,0
1.0532,2.5266e+05,0.91251,315.76,30.235,0,81955,-0.55676,271.08,1,1.341,1.341,0.3,0
1.0511,2.5223e+05,0.91501,315.92,29.925,0,81731,-0.56322,270.87,1,1.344,1.344,0.3,0
1.0491,2.518e+05,0.91752,316.06,29.611,0,81506,-0.56967,270.65,1,1.347,1.347,0.3,0
1.047,2.5136e+05,0.92002,316.21,29.295,0,81282,-0.57613,270.44,1,1.35,1.35,0.3,0
1.0449,2.5093e+05,0.92253,316.35,28.974,0,81058,-0.58259,270.23,1,1.353,1.353,0.3,0
1.0429,2.505e+05,0.92503,316.49,28.65,0,80833,-0.58904,270.01,1,1.356,1.356,0.3,0
1.0408,2.5007e+05,0.92754,316.62,28.324,0,80609,-0.59549,269.8,1,1.359,1.359,0.3,0
1.0387,2.4964e+05,0.93005,316.75,27.993,0,80385,-0.60194,269.59,1,1.362,1.362,0.3,0
1.0367,2.492e+05,0.93256,316.88,27.66,0,80161,-0.60838,269.37,1,1.365,1.365,0.3,0
