VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         199,      -7.271897255,      -3.769696999,      -5.610475846,      -1.480830077
          0,           0,         200,      -7.281924312,      -3.778852685,      -5.618885386,      -1.489685646
          0,           0,         201,      -7.291852098,       -3.78803614,      -5.627248787,      -1.498569546
          0,           0,         202,       -7.30167925,      -3.797247335,       -5.63557164,      -1.507481748
          0,           0,         203,      -7.311404611,       -3.80648624,      -5.643859238,      -1.516422222
          0,           0,         204,      -7.321027231,      -3.815752825,       -5.65211658,      -1.525390937
          0,           0,         205,      -7.330546378,      -3.825047064,      -5.660348377,      -1.534387864
          0,           0,         206,      -7.339961535,      -3.834368929,      -5.668559062,      -1.543412973
          0,           0,         207,      -7.349272407,      -3.843718394,      -5.676752796,      -1.552466235
          0,           0,         208,      -7.358478921,      -3.853095433,      -5.684933479,      -1.561547622
          0,           0,         209,      -7.367581223,      -3.862500023,      -5.693104758,      -1.570657103
          0,           0,         210,       -7.37657968,       -3.87193214,      -5.701270037,      -1.579794651
          0,           0,         211,      -7.385474876,      -3.881391761,      -5.709432489,      -1.588960238
          0,           0,         212,      -7.394267603,      -3.890878864,      -5.717595067,      -1.598153835
          0,           0,         213,      -7.402958864,      -3.900393429,      -5.725760515,      -1.607375415
          0,           0,         214,      -7.411549858,      -3.909935435,      -5.733931377,      -1.616624949
          0,           0,         215,      -7.420041979,      -3.919504863,      -5.742110011,      -1.625902412
          0,           0,         216,      -7.428436804,      -3.929101695,      -5.750298599,      -1.635207776
          0,           0,         217,      -7.436736086,      -3.938725912,      -5.758499158,      -1.644541015
          0,           0,         218,      -7.444941741,      -3.948377498,      -5.766713549,      -1.653902102
          0,           0,         219,       -7.45305584,      -3.958056437,      -5.774943485,      -1.663291012
          0,           0,         220,      -7.461080595,      -3.967762712,      -5.783190539,       -1.67270772
          0,           0,         221,      -7.469018351,       -3.97749631,      -5.791456162,      -1.682152199
          0,           0,         222,      -7.476871569,      -3.987257217,      -5.799741683,      -1.691624426
          0,           0,         223,      -7.484642822,      -3.997045418,      -5.808048317,      -1.701124376
          0,           0,         224,      -7.492334774,      -4.006860902,      -5.816377178,      -1.710652024
          0,           0,         225,      -7.499950174,      -4.016703656,      -5.824729284,      -1.720207347
          0,           0,         226,       -7.50749184,      -4.026573669,       -5.83310556,       -1.72979032
          0,           0,         227,       -7.51496265,      -4.036470931,       -5.84150685,      -1.739400922
          0,           0,         228,       -7.52236553,       -4.04639543,      -5.849933921,      -1.749039128
          0,           0,         229,      -7.529703444,      -4.056347159,      -5.858387471,      -1.758704917
          0,           0,         230,       -7.53697938,      -4.066326107,      -5.866868124,      -1.768398265
          0,           0,         231,       -7.54419634,      -4.076332267,      -5.875376449,       -1.77811915
          0,           0,         232,      -7.551357336,      -4.086365631,      -5.883912962,      -1.787867552
          0,           0,         233,      -7.558465375,      -4.096426192,      -5.892478123,      -1.797643448
          0,           0,         234,      -7.565523452,      -4.106513943,      -5.901072343,      -1.807446818
          0,           0,         235,      -7.572534541,      -4.116628878,      -5.909695989,       -1.81727764
          0,           0,         236,      -7.579501591,       -4.12677099,      -5.918349391,      -1.827135894
          0,           0,         237,      -7.586427516,      -4.136940274,      -5.927032841,      -1.837021558
          0,           0,         238,      -7.593315191,      -4.147136731,      -5.935746596,      -1.846934619
          0,           0,         239,      -7.600167443,      -4.157360352,      -5.944490882,      -1.856875051
          0,           0,         240,      -7.606987051,      -4.167611132,      -5.953265897,      -1.866842834
          0,           0,         241,      -7.613776734,      -4.177889067,      -5.962071803,       -1.87683795
          0,           0,         242,      -7.620539156,      -4.188194153,      -5.970908754,      -1.886860378
          0,           0,         243,      -7.627276918,      -4.198526389,      -5.979776876,        -1.8969101
          0,           0,         244,      -7.633992554,      -4.208885771,      -5.988676279,      -1.906987098
          0,           0,         245,      -7.640688532,      -4.219272297,      -5.997607048,      -1.917091352
          0,           0,         246,      -7.647367248,      -4.229685966,      -6.006569247,      -1.927222844
          0,           0,         247,      -7.654031032,      -4.240126776,      -6.015562934,      -1.937381557
          0,           0,         248,      -7.660682131,      -4.250594726,       -6.02458815,      -1.947567472
          0,           0,         249,      -7.667322727,      -4.261089815,      -6.033644936,      -1.957780572
          0,           0,         250,      -7.673954927,      -4.271612045,       -6.04273331,       -1.96802084
          0,           0,         251,      -7.680580763,      -4.282161415,      -6.051853272,      -1.978288258
          0,           0,         252,      -7.687202198,      -4.292737924,      -6.061004818,      -1.988582809
          0,           0,         253,      -7.693821117,      -4.303341575,      -6.070187935,      -1.998904477
          0,           0,         254,      -7.700439335,       -4.31397237,      -6.079402591,      -2.009253246
          0,           0,         255,      -7.707058591,      -4.324630312,      -6.088648752,      -2.019629102
          0,           0,         256,      -7.713680559,      -4.335315403,      -6.097926409,       -2.03003203
          0,           0,         257,       -7.72030684,      -4.346027647,      -6.107235537,      -2.040462015
          0,           0,         258,      -7.726938972,       -4.35676706,      -6.116576091,      -2.050919054
          0,           0,         259,      -7.733578421,      -4.367533638,      -6.125948044,      -2.061403124
          0,           0,         260,      -7.740226584,      -4.378327377,      -6.135351346,      -2.071914206
          0,           0,         261,      -7.746884802,      -4.389148282,      -6.144785936,      -2.082452282
          0,           0,         262,      -7.753554349,      -4.399996356,      -6.154251751,      -2.093017339
          0,           0,         263,      -7.760236443,      -4.410871605,      -6.163748718,      -2.103609362
          0,           0,         264,      -7.766932239,      -4.421774033,       -6.17327676,      -2.114228337
          0,           0,         265,      -7.773642839,      -4.432703646,      -6.182835792,      -2.124874251
          0,           0,         266,      -7.780369283,      -4.443660451,      -6.192425726,      -2.135547088
          0,           0,         267,      -7.787112564,      -4.454644455,      -6.202046476,      -2.146246836
          0,           0,         268,      -7.793873618,      -4.465655665,      -6.211697943,      -2.156973479
          0,           0,         269,      -7.800653331,      -4.476694088,      -6.221380023,      -2.167727004
          0,           0,         270,      -7.807452545,      -4.487759734,      -6.231092603,      -2.178507394
          0,           0,         271,      -7.814272053,      -4.498852612,      -6.240835575,      -2.189314637
          0,           0,         272,      -7.821112604,       -4.50997273,      -6.250608823,      -2.200148719
          0,           0,         273,      -7.827974908,        -4.5211201,      -6.260412235,      -2.211009624
          0,           0,         274,      -7.834859635,      -4.532294732,      -6.270245724,      -2.221897344
