Density,Momentumx,Momentumy,Energy
1.25,285.25,0.0011967,292970
1.25,285.25,0.0013552,292980
1.25,285.24,0.0015181,292980
1.2501,285.24,0.0016861,292980
1.2501,285.23,0.0018602,292990
1.2501,285.22,0.0020412,292990
1.2501,285.21,0.0022301,293000
1.2502,285.21,0.0024281,293010
1.2502,285.19,0.0026362,293010
1.2503,285.18,0.0028557,293020
1.2503,285.17,0.0030879,293030
1.2504,285.15,0.0033344,293040
1.2504,285.14,0.0035967,293050
1.2505,285.12,0.0038766,293070
1.2506,285.1,0.0041761,293080
1.2506,285.07,0.0044974,293100
1.2507,285.05,0.0048428,293120
1.2508,285.02,0.005215,293140
1.251,284.99,0.005617,293160
1.2511,284.95,0.006052,293190
1.2512,284.91,0.0065237,293220
1.2514,284.86,0.0070359,293250
1.2516,284.81,0.0075933,293280
1.2518,284.75,0.0082008,293320
1.252,284.69,0.0088637,293370
1.2522,284.62,0.0095878,293420
1.2525,284.54,0.010379,293470
1.2528,284.46,0.011246,293530
1.2531,284.37,0.012194,293600
1.2535,284.26,0.013232,293670
1.2539,284.15,0.014369,293750
1.2543,284.02,0.015614,293840
1.2548,283.88,0.016976,293930
1.2553,283.73,0.018465,294040
1.2559,283.57,0.020091,294150
1.2565,283.39,0.021863,294270
1.2571,283.2,0.023792,294400
1.2578,283,0.025887,294540
1.2586,282.77,0.028155,294690
1.2594,282.54,0.030605,294850
1.2602,282.28,0.033241,295020
1.2611,282.02,0.036067,295200
1.2621,281.73,0.039083,295390
1.263,281.44,0.042288,295590
1.264,281.13,0.045675,295790
1.2651,280.81,0.049233,296000
1.2662,280.48,0.052947,296210
1.2672,280.15,0.056795,296430
1.2683,279.81,0.060752,296650
1.2694,279.47,0.06478,296870
1.2705,279.14,0.068844,297080
1.2715,278.81,0.072916,297290
1.2725,278.49,0.076869,297490
1.2735,278.18,0.080531,297690
1.2744,277.89,0.084121,297870
1.2753,277.62,0.088207,298040
1.2761,277.34,0.092089,298210
1.277,277.05,0.09551,298380
1.2779,276.75,0.099441,298570
1.2789,276.45,0.10378,298760
1.2798,276.13,0.1082,298950
1.2808,275.8,0.11281,299150
1.2818,275.46,0.11768,299350
1.2829,275.11,0.1228,299560
1.284,274.74,0.12816,299780
1.2851,274.37,0.13381,300000
1.2862,273.98,0.13974,300230
1.2874,273.57,0.146,300470
1.2886,273.15,0.15258,300710
1.2899,272.72,0.15952,300960
1.2912,272.27,0.16684,301210
1.2925,271.81,0.17457,301480
1.2938,271.33,0.18273,301750
1.2952,270.83,0.19136,302030
1.2967,270.32,0.2005,302320
1.2982,269.78,0.21017,302610
1.2997,269.23,0.22042,302910
1.3013,268.65,0.2313,303230
1.3029,268.05,0.24285,303550
1.3045,267.43,0.25512,303880
1.3063,266.79,0.26819,304220
1.308,266.12,0.2821,304570
1.3098,265.43,0.29694,304930
1.3117,264.71,0.31278,305300
1.3136,263.96,0.32971,305690
1.3156,263.18,0.34784,306080
1.3176,262.37,0.36726,306490
1.3197,261.53,0.38812,306900
1.3219,260.65,0.41054,307330
1.3241,259.73,0.43469,307780
1.3264,258.78,0.46073,308230
1.3288,257.78,0.48889,308700
1.3313,256.74,0.51938,309190
1.3338,255.66,0.55248,309680
1.3364,254.52,0.58849,310200
1.3391,253.33,0.62777,310730
1.3419,252.09,0.67072,311280
1.3447,250.79,0.71785,311850
1.3477,249.42,0.76971,312430
1.3508,247.98,0.82701,313040
1.354,246.46,0.89054,313670
1.3573,244.86,0.96131,314320
