Density,Momentum_x,Momentum_y,Energy
1.2993,175.93,-2.8812,298270
1.2948,179.62,-2.5144,297400
1.2905,182.99,-2.2126,296570
1.2865,186.1,-1.9609,295790
1.2826,188.96,-1.7484,295050
1.279,191.62,-1.5673,294350
1.2755,194.08,-1.4119,293670
1.2722,196.39,-1.2774,293030
1.269,198.54,-1.1605,292410
1.2659,200.56,-1.0582,291820
1.263,202.46,-0.9683,291260
1.2602,204.25,-0.88881,290720
1.2575,205.93,-0.81823,290200
1.2549,207.53,-0.75528,289700
1.2525,209.03,-0.69891,289220
1.2501,210.46,-0.64823,288750
1.2478,211.82,-0.60249,288310
1.2456,213.1,-0.56106,287880
1.2435,214.33,-0.52342,287470
1.2414,215.49,-0.48911,287070
1.2395,216.6,-0.45774,286690
1.2376,217.65,-0.42899,286320
1.2357,218.66,-0.40256,285960
1.234,219.62,-0.37821,285620
1.2323,220.54,-0.35572,285290
1.2307,221.41,-0.33491,284970
1.2291,222.25,-0.31561,284670
1.2276,223.05,-0.2977,284370
1.2261,223.81,-0.28101,284090
1.2247,224.54,-0.26549,283810
1.2234,225.24,-0.25093,283550
1.222,225.91,-0.23744,283290
1.2208,226.56,-0.22444,283050
1.2196,227.17,-0.21198,282810
1.2184,227.76,-0.2018,282580
1.2172,228.34,-0.19249,282350
1.216,228.98,-0.18023,282110
1.2146,229.67,-0.16659,281840
1.2131,230.4,-0.15367,281550
1.2116,231.15,-0.14101,281260
1.2101,231.89,-0.12869,280960
1.2086,232.63,-0.11695,280660
1.2071,233.34,-0.10593,280380
1.2057,234.01,-0.095683,280110
1.2044,234.65,-0.086284,279850
1.2032,235.25,-0.07775,279610
1.202,235.8,-0.070073,279390
1.201,236.3,-0.063226,279190
1.2001,236.76,-0.057161,279010
1.1992,237.17,-0.051822,278850
1.1985,237.55,-0.047148,278700
1.1978,237.88,-0.043074,278580
1.1972,238.18,-0.039542,278460
1.1967,238.45,-0.03649,278360
1.1962,238.69,-0.033863,278280
1.1958,238.91,-0.031606,278200
1.1955,239.1,-0.029674,278130
1.1952,239.27,-0.028022,278070
1.1949,239.43,-0.026613,278020
1.1946,239.57,-0.025414,277970
1.1944,239.69,-0.024395,277930
1.1942,239.81,-0.023531,277890
1.194,239.91,-0.022799,277860
1.1939,240.01,-0.022178,277830
1.1937,240.09,-0.021654,277800
1.1936,240.17,-0.021207,277770
1.1935,240.25,-0.020833,277750
1.1933,240.32,-0.020505,277730
1.1932,240.38,-0.020245,277710
1.1931,240.45,-0.019978,277690
1.193,240.51,-0.019767,277670
1.1929,240.56,-0.019604,277650
1.1929,240.62,-0.0205,277640
1.1928,240.67,-0.015136,277620
1.1927,240.76,0.0041322,277620
1.1925,240.64,-0.080168,277550
1.1923,240.68,-0.1527,277510
1.25,285.27,-2.2251E-05,292960
1.25,285.27,0.00069386,292960
1.25,285.26,0.0013757,292960
1.25,285.26,0.0020426,292970
1.25,285.26,0.0027292,292970
1.25,285.25,0.0034324,292970
1.25,285.25,0.0041549,292980
1.2501,285.24,0.0049076,292980
1.2501,285.23,0.0056995,292990
1.2501,285.22,0.0065395,293000
1.2502,285.2,0.007438,293010
1.2502,285.19,0.0084068,293020
1.2503,285.17,0.0094589,293030
1.2504,285.14,0.010609,293050
1.2505,285.12,0.011875,293070
1.2506,285.08,0.013277,293090
1.2507,285.05,0.014837,293120
1.2509,285,0.016582,293150
1.2511,284.95,0.018545,293190
1.2513,284.88,0.020761,293230
1.2516,284.81,0.023273,293290
1.2519,284.72,0.026132,293350
1.2522,284.62,0.029394,293420
1.2527,284.5,0.033125,293500
1.2531,284.36,0.037399,293600
1.2537,284.2,0.042297,293710
1.2543,284.02,0.047912,293840
1.2551,283.8,0.054341,293990
1.2559,283.56,0.061686,294150
1.2568,283.29,0.070051,294340
1.2579,282.99,0.079536,294550
1.259,282.65,0.090232,294780
1.2603,282.27,0.10221,295030
1.2616,281.86,0.11551,295300
1.2631,281.42,0.13014,295600
1.2646,280.96,0.14603,295900
1.2662,280.47,0.16308,296220
1.2678,279.96,0.18104,296550
1.2695,279.45,0.19971,296880
1.2711,278.95,0.21854,297200
1.2726,278.47,0.23702,297500
1.274,278.01,0.25423,297790
1.2753,277.6,0.27145,298050
1.2766,277.18,0.28948,298310
1.278,276.74,0.30753,298580
1.2794,276.27,0.32732,298870
1.2809,275.78,0.34888,299160
1.2824,275.26,0.37196,299470
1.2841,274.72,0.3968,299800
1.2857,274.14,0.42363,300130
1.2875,273.54,0.45262,300480
1.2893,272.91,0.484,300850
1.2913,272.24,0.51801,301230
1.2933,271.54,0.55495,301630
1.2954,270.79,0.59513,302050
1.2975,270.01,0.63892,302490
1.2998,269.18,0.68674,302940
1.3022,268.31,0.73906,303410
1.3047,267.39,0.79645,303910
1.3073,266.41,0.85954,304420
1.31,265.38,0.92907,304960
1.3128,264.28,1.0059,305530
1.3158,263.12,1.0911,306110
1.3189,261.89,1.1858,306730
1.3221,260.58,1.2914,307370
1.3255,259.19,1.4098,308040
1.329,257.71,1.5428,308740
1.3327,256.14,1.6932,309470
1.3366,254.45,1.864,310240
1.3406,252.65,2.059,311040
1.3449,250.72,2.2833,311880
1.3494,248.64,2.5429,312770
1.3541,246.4,2.8463,313700
1.3591,243.99,3.2041,314680
1.3643,241.36,3.6311,315710
1.3699,238.5,4.1475,316820
1.3758,235.35,4.782,317970
1.3822,231.92,5.578,319220
1.3888,228.04,6.5935,320530
1.3962,223.83,7.9424,321990
1.4038,218.91,9.7422,323450
1.4125,213.74,12.234,325180
1.4204,207.53,15.709,326700
1.4302,202.1,22.076,328700
1.4358,195.46,27.435,329710
1.4408,189.65,35.465,330660
1.4366,190.97,47.97,329880
1.4232,197.12,57.267,327220
1.4128,203.18,64.864,325210
1.3998,209.81,70.868,322680
1.3869,216.4,75.385,320150
1.3742,222.71,78.859,317660
1.3614,228.76,81.562,315150
1.3488,234.53,83.655,312650
1.3361,240.05,85.253,310140
1.3234,245.34,86.435,307630
1.3106,250.42,87.253,305100
1.2978,255.31,87.742,302540
1.2848,260.02,87.927,299950
1.2717,264.57,87.828,297330
1.2585,268.96,87.456,294670
1.245,273.18,86.823,291970
1.2314,277.25,85.936,289230
1.2176,281.16,84.802,286430
1.2035,284.9,83.426,283590
1.1893,288.48,81.815,280700
1.1748,291.88,79.972,277750
1.1602,295.1,77.905,274750
1.1453,298.13,75.618,271700
1.1302,300.97,73.118,268600
1.1149,303.61,70.414,265450
1.0994,306.03,67.513,262250
1.0837,308.23,64.424,259010
1.0679,310.21,61.158,255710
1.0519,311.94,57.727,252380
1.0357,313.44,54.141,249000
1.0195,314.69,50.416,245590
1.0031,315.69,46.565,242140
0.98666,316.43,42.603,238670
0.97016,316.91,38.547,235170
0.95362,317.13,34.412,231660
0.93709,317.09,30.217,228130
0.92057,316.8,25.978,224590
0.90409,316.26,21.714,221050
0.8877,315.47,17.441,217520
0.87142,314.44,13.178,213990
0.8553,313.18,8.9409,210490
0.83933,311.7,4.747,207020
0.82348,310.01,0.59991,203550
0.80774,308.11,-3.5038,200100
0.7921,306,-7.5609,196650
0.77655,303.7,-11.565,193220
0.76112,301.21,-15.505,189800
0.74582,298.53,-19.365,186400
0.73071,295.7,-23.136,183020
0.71576,292.7,-26.8,179670
0.70113,289.6,-30.36,176390
0.68659,286.31,-33.787,173110
0.6725,283.03,-37.107,169920
0.65855,279.52,-40.239,166750
0.64592,276.24,-43.338,163880
0.63158,272.31,-46.153,160580
0.61522,268.3,-49.134,156890
0.60685,266.48,-51.106,155050
0.64551,269.71,-53.901,163230
0.88607,271.37,-58.327,213500
1.1552,256.44,-60.96,270750
1.1442,256.11,-62.987,268340
1.1384,255.64,-65.285,267080
1.145,253.28,-66.95,268410
1.1548,250.22,-68.467,270380
1.1635,247.03,-69.842,272120
1.1723,243.57,-70.986,273880
1.1819,239.78,-71.894,275780
1.1917,235.76,-72.564,277740
1.2016,231.55,-72.995,279690
1.2114,227.16,-73.181,281630
1.2213,222.58,-73.116,283570
1.231,217.84,-72.791,285490
1.2407,212.93,-72.195,287390
1.2503,207.85,-71.312,289270
1.2599,202.6,-70.123,291120
1.2693,197.15,-68.595,292950
1.2786,191.54,-66.703,294760
1.2878,185.69,-64.378,296520
1.2969,179.71,-61.581,298300
1.3057,173.45,-58.168,299960
1.3146,167.36,-54.103,301690
1.3222,161.11,-48.961,303110
1.3303,156.46,-42.34,304720
1.3341,150.73,-36.703,305330
1.3379,147.29,-29.799,306040
1.337,151.24,-22.101,305910
1.3306,157.34,-17.587,304660
1.327,162.72,-13.838,304010
1.3214,168.15,-11.153,302950
1.3165,173.06,-9.2125,302010
1.3116,177.55,-7.74,301080
1.3068,181.64,-6.6021,300170
1.3023,185.37,-5.7015,299300
1.2979,188.79,-4.9723,298470
1.2938,191.92,-4.3718,297680
1.2898,194.81,-3.8703,296910
1.2861,197.48,-3.4469,296190
